model,dataset,accuracy,precision,recall,f1,train_time,inference_time
rules_350-most_common_dair_ai_emotion,dair_ai_emotion,0.6019999980926514,0.6019107699394226,0.6326615810394287,0.554918646812439,0.08686971664428711,0.016458749771118164
rules_350-most_common_nelgiriyewithana_emotions,nelgiriyewithana_emotions,0.6526954770088196,0.6615376472473145,0.7034206986427307,0.6237756609916687,1.7823235988616943,0.3161776065826416
NN_25-max-seq_100-embed_128-batch_50-epochs_dair_ai_emotion-dataset_cuda,dair_ai_emotion,0.8650000095367432,0.8429425358772278,0.8122574090957642,0.82591712474823,7.7111170291900635,0.008941574096679688
NN_25-max-seq_100-embed_128-batch_50-epochs_nelgiriyewithana_emotions-dataset_cuda,nelgiriyewithana_emotions,0.8380557298660278,0.7926263213157654,0.7828236818313599,0.7874886989593506,159.38854670524597,0.18292131900787353
NN_25-max-seq_100-embed_128-batch_50-epochs_dair_ai_emotion-dataset_cpu,dair_ai_emotion,0.8604999780654907,0.8393540382385254,0.8076266050338745,0.8216704726219177,20.587987422943115,0.008128812313079834
NN_25-max-seq_100-embed_128-batch_50-epochs_nelgiriyewithana_emotions-dataset_cpu,nelgiriyewithana_emotions,0.8384875655174255,0.7936845421791077,0.7805373072624207,0.7868608236312866,2063.974318265915,0.15339316844940185
LSTM_128-hidden_100-embed_128-batch_50-epochs_dair_ai_emotion-dataset_cuda,dair_ai_emotion,0.8899999856948853,0.8494281768798828,0.8629459142684937,0.8558206558227539,25.500107765197754,0.0395235538482666
LSTM_128-hidden_100-embed_128-batch_50-epochs_nelgiriyewithana_emotions-dataset_cuda,nelgiriyewithana_emotions,0.9129819273948669,0.8660009503364563,0.8786020278930664,0.8712098598480225,645.3214731216431,0.7263414359092712
LSTM_128-hidden_100-embed_128-batch_50-epochs_dair_ai_emotion-dataset_cpu,dair_ai_emotion,0.8694999814033508,0.8152390122413635,0.8439496755599976,0.827698290348053,195.69215178489685,0.08708648204803467
LSTM_128-hidden_100-embed_128-batch_50-epochs_nelgiriyewithana_emotions-dataset_cpu,nelgiriyewithana_emotions,0.912502110004425,0.8702829480171204,0.8577916622161865,0.8631992340087891,5413.6270117759705,2.001089401245117
